GALBV00,103,SPH028 ,00000001000+,00000001229+,20" 50CML HETTICHÖKªo©³¸ô,2,®M  ,19980831 

GALBV00,103,H13-00 ,00000000000+,00000000022+,3/4" 2CM ¦Ç¦â¥§Às°v      ,2,²É  ,19980831 

GALBV00,103,h07-00 ,00000002000+,00000000000+,C§Î¹qª÷©â¤â              ,2,¥u  ,19980928 

GALBV00,103,h13-00 ,00000000000+,00000001450+,A A ½¦                   ,2,¤ä  ,19980830 

GALBV00,103,P01-00 ,00000000000+,00000000883+,437-2499                 ,2,KG  ,19980826 

GALBV00,103,0008150,00000000150+,00000000561+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980827 

GALBV00,103,0008150,00000000800+,00000002993+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980901 

GALBV00,103,P01-00 ,00000000000+,00000002587+,NC04¤Ñ®³¤ô               ,2,KG  ,19980902 

GALBV00,103,0008150,00000001000+,00000003741+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980902 

GALBV00,103,0008150,00000001000+,00000001986+,¦è¼wÀY«×¤O¬[40  ô        , ,KG  ,19980902 

GALBV00,103,0008150,00000000700+,00000001390+,¦è¼wÀY«×¤O¬[40  ô        , ,KG  ,19980907 

GALBV00,103,0008150,00000001300+,00000002441+,¦è¼w¥b°×­±º£40  ô        , ,KG  ,19980908 

GALBV00,103,0008150,00000001000+,00000001878+,¦è¼w¥b°×­±º£40  ô        , ,KG  ,19980910 

GALBV00,103,0008150,00000001900+,00000003568+,¦è¼w¥b°×­±º£40  ô        , ,KG  ,19980920 

GALBV00,103,K00-00 ,00000000000+,00000001274+,49"(CM) ¥Ë³q¯È           ,2,¦Ì  ,19980930 

GALBV00,103,K00-01 ,00000000000+,00000000129+,3"(75mm) ¤ô½¦¯È          ,2,M   ,19980930 

GALBV00,103,B01-51 ,00000000320+,00000001184+,5MM 4'X8'  ¥Õ§¨          ,1,¥ó  ,19980818 

GALBV00,103,B40-15 ,00000000570+,00000004593+,°ê²£¸UªáªO (¬â¥ú)        , ,¥ó  ,19980818 

GALBV00,103,R03-25 ,00000000001+,00000000780+,1"Äå®ç¤ì,AB¯Å            ,1,M3  ,19980817 

GALBV00,103,R03-38 ,00000000002+,00000001970+,5/4"Äå®ç¤ì,A¯Å           ,1,M3  ,19980817 

GALBV00,103,R03-38 ,00000000003+,00000003262+,3/2"Äå®ç¤ì,A¯Å           ,1,M3  ,19980817 

GALBV00,103,R03-50 ,00000000008+,00000009407+,2"Äå®ç¤ì,A¯Å             ,1,M3  ,19980817 

GALBV00,103,R03-50 ,00000000004+,00000004451+,2"Äå®ç¤ì,AB¯Å            ,1,M3  ,19980817 

GALBV00,103,R03-38 ,00000000001-,00000001087-,3/2"Äå®ç¤ì,A¯Å           ,1,M3  ,19980819 

GALBV00,103,V06-00 ,00000002180+,00000000000+,Äå®ç¥Ö ¸H®Æ              ,1,M2  ,19980818 

GALBV00,103,V06-00 ,00000002170+,00000006037+,¤s¯¾Äå®ç¥Ö A¯Å           ,1,M2  ,19980818 

GALBV00,103,0010100,00000000230+,00000000805+,Panel Sizing ªO®Æ¤u®É    ,5,HRS ,19980819 

GALBV00,103,0010100,00000001200+,00000004200+,Panel Sizing ªO®Æ¤u®É    ,5,HRS ,19980831 

GALBV00,103,0010140,00000000750+,00000002625+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980818 

GALBV00,103,0010140,00000000730+,00000002555+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980818 

GALBV00,103,0010140,00000000130+,00000000455+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980819 

GALBV00,103,0010140,00000000150+,00000000525+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980819 

GALBV00,103,0010140,00000000900+,00000003150+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980820 

GALBV00,103,0010140,00000000650+,00000002275+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980821 

GALBV00,103,0010170,00000000870+,00000003045+,Machine Centre ¾÷¥[¤u    ,5,HRS ,19980829 

GALBV00,103,0010170,00000000870+,00000003045+,Machine Centre ¾÷¥[¤u    ,5,HRS ,19980829 

GALBV00,103,0010170,00000000870+,00000003045+,Machine Centre ¾÷¥[¤u    ,5,HRS ,19980829 

GALBV00,103,0010170,00000000480+,00000001680+,Machine Centre ¾÷¥[¤u    ,5,HRS ,19980829 

GALBV00,103,0010170,00000000480+,00000001680+,Machine Centre ¾÷¥[¤u    ,5,HRS ,19980829 

GALBV00,103,0010170,00000000480+,00000001680+,Machine Centre ¾÷¥[¤u    ,5,HRS ,19980829 

GALBV00,103,0010200,00000000200+,00000000420+,China Packing Lab¥]¸Ë¤u®É,5,HRS ,19980930 

GALBV00,103,0010200,00000000200+,00000000420+,China Packing Lab¥]¸Ë¤u®É,5,HRS ,19980930 

GALBV00,103,0010300,00000001170+,00000003042+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980831 

GALBV00,103,0010300,00000001830+,00000004758+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980831 

GALBV00,103,0010300,00000001720+,00000004472+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980831 

GALBV00,103,0010300,00000001100+,00000002860+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980901 

GALBV00,103,0010300,00000001480+,00000003848+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980901 

GALBV00,103,0010300,00000000620+,00000001612+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980902 

GALBV00,103,0010300,00000002380+,00000006188+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980902 

GALBV00,103,0010300,00000002780+,00000007228+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980906 

GALBV00,103,0010300,00000004000+,00000010400+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980907 

GALBV00,103,0010300,00000001850+,00000004810+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980907 

GALBV00,103,0010300,00000001170+,00000003042+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980909 

GALBV00,103,0010300,00000000780+,00000002028+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980910 

GALBV00,103,0010320,00000000230+,00000000598+,Spray Paint              ,5,HR  ,19980901 

GALBV00,103,0010320,00000000230+,00000000598+,Spray Paint              ,5,HR  ,19980901 

GALBV00,103,0010320,00000000250+,00000000650+,Spray Paint              ,5,HR  ,19980902 

GALBV00,103,0010320,00000000250+,00000000650+,Spray Paint              ,5,HR  ,19980902 

GALBV00,103,0010320,00000000200+,00000000520+,Spray Paint              ,5,HR  ,19980902 

GALBV00,103,0010320,00000000200+,00000000520+,Spray Paint              ,5,HR  ,19980902 

GALBV00,103,0010320,00000000120+,00000000312+,Spray Paint              ,5,HR  ,19980907 

GALBV00,103,0010320,00000000120+,00000000312+,Spray Paint              ,5,HR  ,19980907 

GALBV00,103,0010320,00000000180+,00000000468+,Spray Paint              ,5,HR  ,19980908 

